detuning,r_mean,F_triangle
0.0,0.8440296287459854,-2.094395102393194
0.005,0.8452721053880361,-2.0943951023931957
0.01,0.8465133219286751,-2.094395102393195
0.015,0.8477532899651021,-2.094395102393196
0.02,0.8489920210711137,-2.0943951023931944
0.025,0.8502295267989338,-2.0943951023931957
0.03,0.851465818681076,-2.094395102393195
0.035,0.8527009082322159,-2.0943951023931957
0.04,0.8539348069510914,-2.094395102393196
0.045,0.8551675263224181,-2.0943951023931957
0.05,0.8563990778188355,-2.094395102393195
