K,r_mean,F_triangle,max_abs_lambda_nongauge
0.2,0.8440296287459854,-2.0943951023931957,0.770186667064307
0.40909090909090906,0.8440296287459854,-2.094395102393194,0.5299272735406276
0.6181818181818182,0.8440296287459854,-2.0943951023931957,0.28966788001694804
0.8272727272727272,0.8440296287459854,-2.094395102393195,0.049408486493268323
1.0363636363636364,0.8440296287459854,-2.094395102393194,0.19085090703041202
1.2454545454545454,0.8440296287459854,-2.0943951023931957,0.4311103005540912
1.4545454545454544,0.8440296287459856,-2.0943951023931944,0.6713696940777709
1.6636363636363636,0.8440296287459852,-2.0943951023931966,0.9116290876014536
1.8727272727272726,0.829013592420469,-2.0943951023931966,1.5207141576691248
2.0818181818181816,0.7483812351208562,-2.0943951023931953,1.9171302883897423
2.290909090909091,0.7897866508019654,-2.0943951023931953,2.2599362351952292
2.5,0.756226601425611,-2.0943951023931953,2.564731152345307
