K,abs_lam_max,arg_lam_max,r_mean,F_mean
0.350000,0.908972,0.017372,0.000000,-2.094395
0.545455,0.858277,0.028676,0.000000,-2.094395
0.740909,0.807706,0.041396,0.000000,-2.094395
0.936364,0.757282,0.055813,0.000000,-2.094395
1.131818,0.707039,0.072283,0.000000,-2.094395
1.327273,0.657017,0.091266,0.000000,-2.094395
1.522727,0.607270,0.113369,0.000000,-2.094395
1.718182,0.557873,0.139400,0.000000,-2.094395
1.913636,0.508927,0.170463,0.000000,-2.094395
2.109091,0.460576,0.208092,0.000000,-2.094395
2.304545,0.413030,0.254462,0.000000,-2.094395
2.500000,0.366601,0.312731,0.000000,-2.094395
